x_cm,y_cm,z_cm,is_manual
-13.1536283493042,3.9312400817871094,42.63914108276367,False
-13.316312313079834,3.9312400817871094,42.96450901031494,False
-13.390508890151978,3.9312400817871094,43.11290216445923,False
-13.42357850074768,3.9312400817871094,43.179041385650635,False
-13.46430778503418,3.9312400817871094,43.219770669937134,False
-13.496347188949585,3.9312400817871094,43.25181007385254,False
-13.532402992248535,3.9312400817871094,43.28786587715149,False
-13.532402992248535,3.9312400817871094,43.32091546058655,False
-13.532402992248535,3.9312400817871094,43.364006996154785,False
-13.532402992248535,3.9312400817871094,43.402570724487305,False
-13.532402992248535,3.9312400817871094,43.402570724487305,False
-13.532402992248535,3.9312400817871094,42.44025754928589,False
-13.532402992248535,3.9312400817871094,42.44025754928589,True
-13.532402992248535,3.9312400817871094,42.44025754928589,False
-12.047080039978027,3.9312400817871094,43.9255805015564,False
-9.924500703811646,3.9312400817871094,46.04815983772278,False
-9.771299600601196,3.9312400817871094,46.27796149253845,False
-9.69168472290039,3.9312400817871094,46.43719124794006,False
-9.61257815361023,3.9312400817871094,46.595404386520386,False
-9.536476135253906,3.9312400817871094,46.74760842323303,False
-9.499921560287476,3.9312400817871094,46.820717573165894,False
-9.46285891532898,3.9312400817871094,46.894842863082886,False
-9.425813436508179,3.9312400817871094,46.96893382072449,False
-9.425813436508179,3.9312400817871094,47.00649857521057,False
-9.425813436508179,3.9312400817871094,47.046489000320435,False
-8.748636960983276,3.9312400817871094,47.046489000320435,False
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,True
-8.748636960983276,3.9312400817871094,47.046489000320435,False
-8.063598155975342,3.9312400817871094,44.99137258529663,False
-7.290534734725952,3.9312400817871094,43.44524574279785,False
-7.236435890197754,3.9312400817871094,43.337048053741455,False
-7.182117700576782,3.9312400817871094,43.28272986412048,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
-7.13081693649292,3.9312400817871094,43.23142910003662,False
